id,ordered_at,delivered_at,delivered_to,order_channel
95,9/30/2018 18:56,9/30/2018 19:23,CX-624,delivery 
96,10/28/2018 16:15,10/28/2018 16:45,CX-417,pick-up
97,11/19/2018 17:30,11/19/2018 17:42,CX-965,pick-up
98,10/14/2018 1:30,10/14/2018 1:40,CX-539,delivery 
99,11/19/2018 8:57,11/19/2018 9:03,CX-127,pick-up
100,9/25/2018 15:08,9/25/2018 15:17,CX-871,delivery 
101,9/2/2018 7:00,9/2/2018 7:10,CX-820,pick-up
102,11/5/2018 21:04,11/5/2018 21:15,CX-295,delivery 
103,11/19/2018 21:27,11/19/2018 21:56,CX-176,pick-up
104,11/14/2018 7:11,11/14/2018 7:24,CX-164,delivery 
105,11/11/2018 12:22,11/11/2018 12:49,CX-476,pick-up
106,11/25/2018 11:34,11/25/2018 11:57,CX-565,delivery 
107,9/18/2018 11:56,9/18/2018 12:20,CX-856,pick-up
108,12/1/2018 0:57,12/1/2018 1:26,CX-756,delivery 
109,11/6/2018 2:42,11/6/2018 2:48,CX-907,pick-up
110,11/13/2018 16:10,11/13/2018 16:29,CX-144,delivery 
111,10/2/2018 9:11,10/2/2018 9:21,CX-212,pick-up
112,10/15/2018 15:08,10/15/2018 15:33,CX-337,delivery 
113,11/2/2018 22:51,11/2/2018 22:52,CX-164,pick-up
114,11/2/2018 10:56,11/2/2018 11:10,CX-795,delivery 
115,10/8/2018 7:07,10/8/2018 7:35,CX-739,pick-up
116,10/8/2018 14:54,10/8/2018 15:09,CX-292,delivery 
117,10/10/2018 5:02,10/10/2018 5:19,CX-225,pick-up
118,10/11/2018 2:09,10/11/2018 2:17,CX-558,delivery 
119,10/13/2018 2:03,10/13/2018 2:19,CX-112,pick-up
120,9/15/2018 15:30,9/15/2018 15:39,CX-98,delivery 
121,9/30/2018 7:33,9/30/2018 7:48,CX-570,pick-up
122,10/30/2018 21:54,10/30/2018 22:20,CX-237,delivery 
123,11/28/2018 2:34,11/28/2018 2:43,CX-96,pick-up
124,9/23/2018 13:44,9/23/2018 13:50,CX-203,delivery 
125,10/31/2018 0:55,10/31/2018 1:01,CX-544,pick-up
126,10/9/2018 23:22,10/9/2018 23:24,CX-662,delivery 
127,11/27/2018 18:08,11/27/2018 18:36,CX-914,pick-up
128,11/21/2018 10:49,11/21/2018 11:14,CX-564,pick-up
129,10/22/2018 0:45,10/22/2018 1:08,CX-818,delivery 
130,11/15/2018 17:56,11/15/2018 18:21,CX-272,pick-up
131,10/26/2018 18:25,10/26/2018 18:40,CX-445,delivery 
132,10/29/2018 16:33,10/29/2018 16:36,CX-944,pick-up
133,11/5/2018 2:50,11/5/2018 3:02,CX-704,delivery 
134,9/17/2018 8:17,9/17/2018 8:28,CX-762,pick-up
135,10/17/2018 15:39,10/17/2018 15:56,CX-971,delivery 
136,11/12/2018 20:14,11/12/2018 20:29,CX-42,pick-up
137,8/21/2018 16:11,8/21/2018 16:17,CX-721,delivery 
138,11/13/2018 0:18,11/13/2018 0:27,CX-787,pick-up
139,10/3/2018 14:35,10/3/2018 14:41,CX-784,pick-up
140,10/2/2018 21:50,10/2/2018 22:05,CX-667,delivery 
141,9/18/2018 18:40,9/18/2018 19:07,CX-698,pick-up
142,11/4/2018 5:12,11/4/2018 5:18,CX-864,delivery 
143,11/1/2018 13:35,11/1/2018 13:50,CX-914,pick-up
144,9/3/2018 8:26,9/3/2018 8:54,CX-144,delivery 
145,9/10/2018 5:22,9/10/2018 5:38,CX-427,pick-up
146,9/24/2018 3:47,9/24/2018 4:16,CX-611,delivery 
147,10/21/2018 6:24,10/21/2018 6:40,CX-847,pick-up
148,11/11/2018 21:34,11/11/2018 22:00,CX-4,delivery 
149,9/15/2018 22:42,9/15/2018 23:00,CX-162,pick-up
150,11/24/2018 22:27,11/24/2018 22:39,CX-870,delivery 
151,9/19/2018 13:50,9/19/2018 14:19,CX-122,pick-up
152,11/29/2018 8:29,11/29/2018 8:59,CX-506,delivery 
153,11/22/2018 16:44,11/22/2018 16:52,CX-392,pick-up
154,9/26/2018 23:20,9/26/2018 23:20,CX-462,delivery 
155,11/21/2018 11:27,11/21/2018 11:32,CX-545,pick-up
156,11/10/2018 12:23,11/10/2018 12:39,CX-174,delivery 
157,11/16/2018 9:02,11/16/2018 9:32,CX-963,pick-up
158,9/30/2018 11:18,9/30/2018 11:39,CX-592,delivery 
159,9/21/2018 5:12,9/21/2018 5:37,CX-421,pick-up
160,11/27/2018 9:56,11/27/2018 10:01,CX-359,delivery 
161,11/21/2018 23:27,11/21/2018 23:34,CX-928,pick-up
162,10/14/2018 16:40,10/14/2018 16:56,CX-157,delivery 
163,10/4/2018 3:49,10/4/2018 4:03,CX-566,pick-up
164,11/16/2018 21:03,11/16/2018 21:08,CX-923,delivery 
165,11/27/2018 7:52,11/27/2018 8:16,CX-145,pick-up
166,8/14/2018 16:49,8/14/2018 17:04,CX-380,delivery 
167,11/14/2018 17:41,11/14/2018 18:07,CX-928,pick-up
168,11/2/2018 18:29,11/2/2018 18:48,CX-179,delivery 
169,11/18/2018 2:02,11/18/2018 2:21,CX-261,pick-up
170,11/28/2018 17:24,11/28/2018 17:47,CX-406,delivery 
171,10/14/2018 14:58,10/14/2018 15:22,CX-22,pick-up
172,11/27/2018 10:28,11/27/2018 10:32,CX-285,delivery 
173,10/31/2018 10:00,10/31/2018 10:02,CX-543,pick-up
174,10/18/2018 22:51,10/18/2018 22:57,CX-733,delivery 
175,10/26/2018 18:46,10/26/2018 18:52,CX-783,pick-up
176,10/22/2018 18:17,10/22/2018 18:46,CX-795,delivery 
177,11/29/2018 0:31,11/29/2018 0:37,CX-214,pick-up
178,11/17/2018 20:14,11/17/2018 20:39,CX-605,delivery 
179,8/20/2018 18:26,8/20/2018 18:53,CX-371,pick-up
180,11/23/2018 6:49,11/23/2018 7:17,CX-109,delivery 
181,11/18/2018 2:31,11/18/2018 2:34,CX-684,pick-up
182,11/7/2018 22:52,11/7/2018 23:02,CX-230,delivery 
183,11/24/2018 11:37,11/24/2018 12:00,CX-82,pick-up
184,10/19/2018 20:44,10/19/2018 20:45,CX-676,delivery 
185,11/10/2018 8:37,11/10/2018 8:52,CX-944,pick-up
186,11/17/2018 8:02,11/17/2018 8:19,CX-802,delivery 
187,10/9/2018 6:10,10/9/2018 6:26,CX-688,pick-up
188,11/23/2018 0:45,11/23/2018 0:56,CX-377,delivery 
189,11/3/2018 4:42,11/3/2018 4:45,CX-192,pick-up
190,11/4/2018 1:57,11/4/2018 2:10,CX-775,delivery 
191,11/1/2018 4:36,11/1/2018 5:03,CX-263,pick-up
192,9/12/2018 16:38,9/12/2018 16:40,CX-871,delivery 
193,10/28/2018 9:51,10/28/2018 9:58,CX-254,pick-up
194,8/16/2018 9:40,8/16/2018 9:41,CX-327,delivery 
195,10/18/2018 22:20,10/18/2018 22:31,CX-489,pick-up
196,11/25/2018 11:24,11/25/2018 11:41,CX-269,delivery 
197,11/25/2018 3:08,11/25/2018 3:12,CX-411,pick-up
198,11/3/2018 15:30,11/3/2018 16:00,CX-415,delivery 
199,8/20/2018 4:00,8/20/2018 4:27,CX-294,pick-up
200,10/6/2018 20:44,10/6/2018 21:11,CX-867,delivery 
201,11/10/2018 19:52,11/10/2018 20:08,CX-993,pick-up
202,11/9/2018 12:15,11/9/2018 12:30,CX-366,delivery 
203,11/24/2018 8:04,11/24/2018 8:10,CX-792,pick-up
204,10/7/2018 10:08,10/7/2018 10:23,CX-224,delivery 
205,11/25/2018 13:19,11/25/2018 13:34,CX-46,pick-up
206,10/12/2018 21:37,10/12/2018 22:00,CX-893,delivery 
207,11/17/2018 21:40,11/17/2018 21:58,CX-856,pick-up
208,11/25/2018 18:26,11/25/2018 18:42,CX-57,delivery 
209,10/22/2018 16:08,10/22/2018 16:14,CX-33,pick-up
210,9/29/2018 12:11,9/29/2018 12:34,CX-543,delivery 
211,12/1/2018 2:31,12/1/2018 2:34,CX-127,pick-up
212,11/28/2018 12:00,11/28/2018 12:28,CX-797,delivery 
213,11/28/2018 23:44,11/28/2018 23:45,CX-723,pick-up
214,10/11/2018 22:07,10/11/2018 22:24,CX-744,delivery 
215,11/15/2018 16:47,11/15/2018 16:48,CX-945,pick-up
216,9/22/2018 15:53,9/22/2018 15:59,CX-809,delivery 
217,11/7/2018 23:08,11/7/2018 23:26,CX-888,pick-up
218,10/28/2018 4:01,10/28/2018 4:18,CX-502,delivery 
219,11/1/2018 6:10,11/1/2018 6:17,CX-218,pick-up
220,11/25/2018 21:24,11/25/2018 21:42,CX-149,delivery 
221,11/11/2018 0:45,11/11/2018 1:05,CX-805,pick-up
222,10/29/2018 17:38,10/29/2018 17:47,CX-95,delivery 
223,9/6/2018 3:36,9/6/2018 3:37,CX-710,pick-up
224,11/7/2018 3:58,11/7/2018 3:59,CX-39,delivery 
225,10/16/2018 1:20,10/16/2018 1:20,CX-184,pick-up
226,11/9/2018 18:16,11/9/2018 18:40,CX-578,delivery 
227,9/6/2018 13:56,9/6/2018 14:13,CX-798,pick-up
228,11/23/2018 10:43,11/23/2018 10:57,CX-699,delivery 
229,11/23/2018 14:25,11/23/2018 14:38,CX-243,pick-up
230,10/6/2018 1:25,10/6/2018 1:39,CX-458,delivery 
231,11/3/2018 7:07,11/3/2018 7:10,CX-673,pick-up
232,10/14/2018 1:02,10/14/2018 1:17,CX-865,delivery 
233,10/10/2018 22:46,10/10/2018 23:02,CX-782,pick-up
234,11/13/2018 14:10,11/13/2018 14:28,CX-853,delivery 
235,9/28/2018 23:06,9/28/2018 23:32,CX-437,pick-up
236,11/17/2018 3:48,11/17/2018 4:01,CX-895,delivery 
237,11/14/2018 18:50,11/14/2018 19:19,CX-867,pick-up
238,10/22/2018 0:11,10/22/2018 0:39,CX-567,delivery 
239,11/8/2018 20:54,11/8/2018 21:22,CX-476,pick-up
240,10/28/2018 19:50,10/28/2018 20:17,CX-433,delivery 
241,11/13/2018 21:21,11/13/2018 21:25,CX-276,pick-up
242,10/3/2018 3:47,10/3/2018 3:55,CX-7,delivery 
243,10/5/2018 17:34,10/5/2018 17:47,CX-990,pick-up
244,9/19/2018 14:27,9/19/2018 14:28,CX-1,delivery 
245,11/19/2018 12:02,11/19/2018 12:17,CX-880,pick-up
246,8/11/2018 13:49,8/11/2018 14:05,CX-472,delivery 
247,10/25/2018 20:29,10/25/2018 20:54,CX-295,pick-up
248,10/5/2018 23:00,10/5/2018 23:04,CX-293,delivery 
249,9/25/2018 15:07,9/25/2018 15:13,CX-127,pick-up
250,10/31/2018 7:30,10/31/2018 8:00,CX-32,delivery 
251,10/9/2018 21:19,10/9/2018 21:19,CX-112,pick-up
252,9/19/2018 15:44,9/19/2018 16:04,CX-811,delivery 
253,11/21/2018 5:09,11/21/2018 5:36,CX-374,pick-up
254,10/29/2018 20:57,10/29/2018 21:19,CX-978,delivery 
255,10/26/2018 17:43,10/26/2018 17:56,CX-405,pick-up
256,11/26/2018 15:01,11/26/2018 15:14,CX-137,delivery 
257,10/8/2018 13:55,10/8/2018 14:03,CX-831,pick-up
258,10/24/2018 14:18,10/24/2018 14:31,CX-1,delivery 
259,11/21/2018 7:14,11/21/2018 7:32,CX-978,pick-up
260,9/22/2018 1:35,9/22/2018 1:37,CX-974,delivery 
261,10/2/2018 18:30,10/2/2018 18:48,CX-25,pick-up
262,10/3/2018 23:15,10/3/2018 23:45,CX-568,delivery 
263,11/8/2018 23:41,11/9/2018 0:04,CX-174,pick-up
264,11/29/2018 22:08,11/29/2018 22:27,CX-445,delivery 
265,9/12/2018 20:20,9/12/2018 20:23,CX-466,pick-up
266,11/10/2018 22:05,11/10/2018 22:20,CX-682,delivery 
267,10/27/2018 0:32,10/27/2018 0:34,CX-585,pick-up
268,11/24/2018 14:15,11/24/2018 14:26,CX-151,delivery 
269,11/23/2018 13:53,11/23/2018 14:16,CX-564,pick-up
270,11/6/2018 0:59,11/6/2018 1:22,CX-445,delivery 
271,11/18/2018 6:54,11/18/2018 6:59,CX-961,pick-up
272,10/21/2018 4:20,10/21/2018 4:24,CX-2,delivery 
273,11/30/2018 7:16,11/30/2018 7:24,CX-880,pick-up
274,9/24/2018 0:42,9/24/2018 0:56,CX-560,delivery 
275,11/17/2018 2:04,11/17/2018 2:26,CX-515,pick-up
276,11/28/2018 15:21,11/28/2018 15:31,CX-939,delivery 
277,9/25/2018 11:57,9/25/2018 12:14,CX-865,pick-up
278,10/5/2018 20:23,10/5/2018 20:28,CX-842,delivery 
279,11/15/2018 3:14,11/15/2018 3:32,CX-963,pick-up
280,11/22/2018 3:49,11/22/2018 3:55,CX-694,delivery 
281,10/12/2018 1:37,10/12/2018 1:55,CX-892,pick-up
282,8/28/2018 15:28,8/28/2018 15:45,CX-388,delivery 
283,10/17/2018 6:43,10/17/2018 6:57,CX-5,pick-up
284,11/26/2018 1:01,11/26/2018 1:22,CX-31,delivery 
285,9/15/2018 8:50,9/15/2018 9:11,CX-322,pick-up
286,11/16/2018 19:26,11/16/2018 19:34,CX-850,delivery 
287,10/2/2018 11:18,10/2/2018 11:26,CX-340,pick-up
288,8/24/2018 8:31,8/24/2018 8:42,CX-962,delivery 
289,10/25/2018 7:31,10/25/2018 7:48,CX-785,pick-up
290,11/6/2018 7:04,11/6/2018 7:08,CX-394,delivery 
291,9/20/2018 7:07,9/20/2018 7:14,CX-7,pick-up
292,10/27/2018 20:07,10/27/2018 20:09,CX-317,delivery 
293,11/25/2018 16:01,11/25/2018 16:30,CX-796,pick-up
294,10/30/2018 21:03,10/30/2018 21:04,CX-482,delivery 
295,10/31/2018 13:03,10/31/2018 13:24,CX-306,pick-up
296,11/24/2018 9:19,11/24/2018 9:48,CX-105,delivery 
297,11/6/2018 19:03,11/6/2018 19:23,CX-473,pick-up
298,10/21/2018 2:39,10/21/2018 2:41,CX-541,delivery 
299,11/6/2018 12:30,11/6/2018 12:54,CX-690,pick-up
300,11/19/2018 21:36,11/19/2018 22:04,CX-407,delivery 
301,10/29/2018 2:06,10/29/2018 2:16,CX-856,pick-up
302,11/13/2018 15:26,11/13/2018 15:44,CX-114,delivery 
303,10/12/2018 10:43,10/12/2018 10:57,CX-856,pick-up
304,11/23/2018 19:08,11/23/2018 19:08,CX-875,delivery 
305,11/5/2018 13:23,11/5/2018 13:23,CX-103,pick-up
306,11/5/2018 21:44,11/5/2018 21:45,CX-347,delivery 
307,10/23/2018 19:05,10/23/2018 19:32,CX-170,pick-up
308,9/23/2018 12:37,9/23/2018 12:39,CX-471,delivery 
309,10/24/2018 17:28,10/24/2018 17:35,CX-983,pick-up
310,9/19/2018 18:30,9/19/2018 18:48,CX-20,delivery 
311,11/20/2018 7:26,11/20/2018 7:30,CX-554,pick-up
312,10/19/2018 20:18,10/19/2018 20:41,CX-912,delivery 
313,11/4/2018 0:59,11/4/2018 1:21,CX-843,pick-up
314,11/27/2018 21:44,11/27/2018 21:46,CX-34,delivery 
315,10/27/2018 11:23,10/27/2018 11:40,CX-220,pick-up
316,11/29/2018 8:34,11/29/2018 9:01,CX-717,delivery 
317,10/2/2018 23:38,10/2/2018 23:42,CX-907,pick-up
318,11/19/2018 1:15,11/19/2018 1:27,CX-844,delivery 
319,10/11/2018 5:22,10/11/2018 5:40,CX-7,pick-up
320,11/14/2018 9:51,11/14/2018 10:00,CX-59,delivery 
321,11/8/2018 2:17,11/8/2018 2:40,CX-635,pick-up
322,11/3/2018 21:30,11/3/2018 21:34,CX-956,delivery 
323,9/11/2018 13:43,9/11/2018 14:04,CX-9,pick-up
324,10/30/2018 19:29,10/30/2018 19:48,CX-550,delivery 
325,10/8/2018 5:43,10/8/2018 5:52,CX-777,pick-up
326,10/19/2018 8:08,10/19/2018 8:22,CX-788,delivery 
327,9/14/2018 22:52,9/14/2018 23:05,CX-156,pick-up
328,10/5/2018 1:33,10/5/2018 1:58,CX-890,delivery 
329,10/25/2018 22:34,10/25/2018 22:50,CX-31,pick-up
330,8/28/2018 21:59,8/28/2018 22:06,CX-250,delivery 
331,10/22/2018 9:45,10/22/2018 10:00,CX-4,pick-up
332,10/31/2018 14:38,10/31/2018 14:53,CX-740,delivery 
333,10/16/2018 16:45,10/16/2018 16:47,CX-448,pick-up
334,10/23/2018 5:03,10/23/2018 5:20,CX-41,delivery 
335,11/27/2018 2:05,11/27/2018 2:17,CX-682,pick-up
336,9/21/2018 18:30,9/21/2018 18:58,CX-576,delivery 
337,11/10/2018 20:30,11/10/2018 20:49,CX-155,pick-up
338,10/9/2018 20:48,10/9/2018 21:05,CX-276,delivery 
339,11/15/2018 14:16,11/15/2018 14:32,CX-357,pick-up
340,11/21/2018 10:12,11/21/2018 10:16,CX-466,delivery 
341,10/8/2018 5:36,10/8/2018 5:59,CX-574,pick-up
342,11/5/2018 9:54,11/5/2018 10:23,CX-663,delivery 
343,9/16/2018 3:56,9/16/2018 3:59,CX-343,pick-up
344,9/6/2018 9:32,9/6/2018 9:44,CX-676,delivery 
345,11/12/2018 15:40,11/12/2018 16:01,CX-362,pick-up
346,10/5/2018 9:57,10/5/2018 10:27,CX-416,delivery 
347,12/1/2018 10:17,12/1/2018 10:35,CX-594,pick-up
348,11/14/2018 6:39,11/14/2018 7:08,CX-383,delivery 
349,9/19/2018 3:25,9/19/2018 3:33,CX-714,pick-up
350,9/24/2018 10:06,9/24/2018 10:19,CX-395,delivery 
351,11/27/2018 6:45,11/27/2018 7:06,CX-24,pick-up
352,11/11/2018 0:57,11/11/2018 1:26,CX-633,delivery 
353,10/24/2018 13:22,10/24/2018 13:22,CX-323,pick-up
354,11/30/2018 23:59,12/1/2018 0:22,CX-156,delivery 
355,10/6/2018 21:33,10/6/2018 21:39,CX-205,pick-up
356,10/31/2018 22:47,10/31/2018 22:57,CX-390,delivery 
357,9/4/2018 0:34,9/4/2018 0:37,CX-151,pick-up
358,10/25/2018 19:41,10/25/2018 19:46,CX-7,delivery 
359,9/25/2018 20:53,9/25/2018 21:08,CX-963,pick-up
360,10/27/2018 17:26,10/27/2018 17:52,CX-33,delivery 
361,11/20/2018 12:22,11/20/2018 12:46,CX-487,pick-up
362,9/26/2018 0:23,9/26/2018 0:50,CX-867,delivery 
363,10/22/2018 2:44,10/22/2018 2:57,CX-425,pick-up
364,11/10/2018 8:43,11/10/2018 9:05,CX-890,delivery 
365,8/30/2018 15:08,8/30/2018 15:18,CX-7,pick-up
366,10/15/2018 18:16,10/15/2018 18:26,CX-570,delivery 
367,11/30/2018 4:12,11/30/2018 4:33,CX-659,pick-up
368,10/31/2018 20:36,10/31/2018 20:37,CX-97,delivery 
369,9/30/2018 1:21,9/30/2018 1:27,CX-239,pick-up
370,11/29/2018 7:36,11/29/2018 7:58,CX-95,delivery 
371,8/12/2018 9:03,8/12/2018 9:08,CX-440,pick-up
372,8/20/2018 5:01,8/20/2018 5:14,CX-584,delivery 
373,10/29/2018 16:38,10/29/2018 16:47,CX-647,pick-up
374,11/24/2018 0:50,11/24/2018 1:12,CX-23,delivery 
375,10/29/2018 12:34,10/29/2018 12:38,CX-131,pick-up
376,11/25/2018 15:28,11/25/2018 15:43,CX-964,delivery 
377,11/12/2018 0:28,11/12/2018 0:30,CX-538,pick-up
378,11/5/2018 18:32,11/5/2018 18:58,CX-471,delivery 
379,10/13/2018 15:23,10/13/2018 15:32,CX-656,pick-up
380,10/16/2018 19:41,10/16/2018 19:49,CX-974,delivery 
381,9/3/2018 15:42,9/3/2018 15:58,CX-817,pick-up
382,11/11/2018 11:53,11/11/2018 12:11,CX-174,delivery 
383,10/8/2018 15:42,10/8/2018 15:42,CX-409,pick-up
384,11/12/2018 5:15,11/12/2018 5:36,CX-973,delivery 
385,11/4/2018 22:06,11/4/2018 22:10,CX-54,pick-up
386,10/23/2018 1:11,10/23/2018 1:40,CX-461,delivery 
387,10/10/2018 20:59,10/10/2018 21:24,CX-991,pick-up
388,10/15/2018 21:30,10/15/2018 21:57,CX-799,delivery 
389,11/20/2018 14:58,11/20/2018 15:10,CX-33,pick-up
390,10/10/2018 23:34,10/10/2018 23:59,CX-323,delivery 
391,11/2/2018 8:42,11/2/2018 8:45,CX-454,pick-up
392,11/24/2018 19:38,11/24/2018 20:05,CX-404,delivery 
393,9/25/2018 9:36,9/25/2018 9:52,CX-9,pick-up
394,10/30/2018 13:22,10/30/2018 13:52,CX-79,delivery 
395,11/13/2018 2:12,11/13/2018 2:24,CX-819,pick-up
396,10/14/2018 16:13,10/14/2018 16:40,CX-823,delivery 
397,11/7/2018 1:20,11/7/2018 1:36,CX-116,pick-up
398,11/24/2018 21:30,11/24/2018 21:46,CX-581,delivery 
399,9/22/2018 7:18,9/22/2018 7:25,CX-295,pick-up
400,11/27/2018 16:11,11/27/2018 16:22,CX-154,delivery 
401,10/14/2018 22:43,10/14/2018 22:50,CX-599,pick-up
402,9/17/2018 12:45,9/17/2018 13:09,CX-239,delivery 
403,9/7/2018 4:00,9/7/2018 4:05,CX-427,pick-up
404,11/15/2018 19:56,11/15/2018 20:22,CX-352,delivery 
405,10/29/2018 0:03,10/29/2018 0:18,CX-410,pick-up
406,11/24/2018 14:55,11/24/2018 14:55,CX-958,delivery 
407,10/10/2018 4:52,10/10/2018 5:06,CX-988,pick-up
408,12/1/2018 6:42,12/1/2018 7:02,CX-837,delivery 
409,11/30/2018 8:29,11/30/2018 8:41,CX-213,pick-up
