item_id,order_id,food_item,amount_paid
164,3190,Gam Ja Tang,11.25
165,257,Braised Beef Noodles,10.25
166,4076,Gam Ja Tang,11.25
167,3589,Passionfruit Green Tea,3.75
168,4706,Passionfruit Green Tea,3.75
169,3032,Pork Belly Bao,9.25
170,25,Pork Belly Bao,9.25
171,1378,Braised Beef Noodles,10.25
172,1939,Passionfruit Green Tea,3.75
173,2703,Braised Beef Noodles,10.25
174,4219,Gam Ja Tang,11.25
175,974,Gam Ja Tang,11.25
176,4029,Braised Beef Noodles,10.25
177,3328,Gam Ja Tang,11.25
178,2515,Matcha Cheese Cake,6.75
179,3942,Passionfruit Green Tea,3.75
180,3564,Pork Belly Bao,9.25
181,2229,Gam Ja Tang,11.25
182,462,Braised Beef Noodles,10.25
183,2546,Gam Ja Tang,11.25
184,886,Braised Beef Noodles,10.25
185,2251,Cha Siu Bao,9.25
186,24,Black Sugar Bubble Tea,5.25
187,1384,Matcha Cheese Cake,6.75
188,607,Gam Ja Tang,11.25
189,1875,Pork Belly Bao,9.25
190,932,Cha Siu Bao,9.25
191,4560,Pork Belly Bao,9.25
192,2308,Black Sugar Bubble Tea,5.25
193,1329,Black Sugar Bubble Tea,5.25
194,1703,Matcha Cheese Cake,6.75
195,2095,Braised Beef Noodles,10.25
196,4842,Gam Ja Tang,11.25
197,3593,Matcha Cheese Cake,6.75
198,3014,Matcha Cheese Cake,6.75
199,3172,Pork Belly Bao,9.25
200,4147,Braised Beef Noodles,10.25
201,4345,Pork Belly Bao,9.25
202,3554,Braised Beef Noodles,10.25
203,2658,Braised Beef Noodles,10.25
204,1839,Gam Ja Tang,11.25
205,2579,Pork Belly Bao,9.25
206,3005,Pork Belly Bao,9.25
207,4808,Gam Ja Tang,11.25
208,2490,Passionfruit Green Tea,3.75
209,4440,Pork Belly Bao,9.25
210,4505,Cha Siu Bao,9.25
211,2005,Braised Beef Noodles,10.25
212,1323,Passionfruit Green Tea,3.75
213,4025,Gam Ja Tang,11.25
214,3154,Herbal Grass Jelly Drink,8.75
215,2415,Gam Ja Tang,11.25
216,4078,Matcha Cheese Cake,6.75
217,4544,Black Sugar Bubble Tea,5.25
218,1770,Pork Belly Bao,9.25
219,1647,Braised Beef Noodles,10.25
220,314,Gam Ja Tang,11.25
221,365,Red Bean & Taro Slush,8.75
222,508,Pork Belly Bao,9.25
223,477,Cha Siu Bao,9.25
224,3645,Passionfruit Green Tea,3.75
225,1620,Matcha Cheese Cake,6.75
226,2392,Black Sugar Bubble Tea,5.25
227,1721,Gam Ja Tang,11.25
228,1499,Cha Siu Bao,9.25
229,2973,Pork Belly Bao,9.25
230,4855,Cha Siu Bao,9.25
231,3989,Passionfruit Green Tea,3.75
232,2167,Gam Ja Tang,11.25
233,763,Pork Belly Bao,9.25
234,3777,Gam Ja Tang,11.25
235,2312,Black Sugar Bubble Tea,5.25
236,2142,Gam Ja Tang,11.25
237,3172,Black Sugar Bubble Tea,5.25
238,4200,Pork Belly Bao,9.25
239,4157,Passionfruit Green Tea,3.75
240,77,Gam Ja Tang,11.25
241,12,Gam Ja Tang,11.25
242,4256,Gam Ja Tang,11.25
243,4427,Cha Siu Bao,9.25
244,4599,Pork Belly Bao,9.25
245,3992,Pork Belly Bao,9.25
246,1748,Gam Ja Tang,11.25
247,206,Passionfruit Green Tea,3.75
248,3053,Passionfruit Green Tea,3.75
249,2397,Black Sugar Bubble Tea,5.25
250,1588,Braised Beef Noodles,10.25
251,3277,Gam Ja Tang,11.25
252,4918,Pork Belly Bao,9.25
253,1135,Passionfruit Green Tea,3.75
254,939,Braised Beef Noodles,10.25
255,4336,Cha Siu Bao,9.25
256,4227,Cha Siu Bao,9.25
257,3,Braised Beef Noodles,10.25
258,2496,Black Sugar Bubble Tea,5.25
259,4126,Passionfruit Green Tea,3.75
260,2540,Braised Beef Noodles,10.25
261,2933,Cha Siu Bao,9.25
262,3916,Pork Belly Bao,9.25
263,124,Passionfruit Green Tea,3.75
264,4024,Matcha Cheese Cake,6.75
265,2077,Passionfruit Green Tea,3.75
266,1375,Gam Ja Tang,11.25
267,2593,Cha Siu Bao,9.25
268,889,Gam Ja Tang,11.25
269,858,Passionfruit Green Tea,3.75
270,358,Gam Ja Tang,11.25
271,2634,Passionfruit Green Tea,3.75
272,1607,Braised Beef Noodles,10.25
273,681,Gam Ja Tang,11.25
274,116,Braised Beef Noodles,10.25
275,2083,Passionfruit Green Tea,3.75
276,4773,Gam Ja Tang,11.25
277,4993,Braised Beef Noodles,10.25
278,501,Gam Ja Tang,11.25
279,3575,Gam Ja Tang,11.25
280,1290,Gam Ja Tang,11.25
281,4381,Gam Ja Tang,11.25
282,2783,Cha Siu Bao,9.25
283,4843,Pork Belly Bao,9.25
284,416,Gam Ja Tang,11.25
285,1692,Cha Siu Bao,9.25
286,1372,Gam Ja Tang,11.25
287,4252,Braised Beef Noodles,10.25
288,534,Passionfruit Green Tea,3.75
289,3265,Passionfruit Green Tea,3.75
290,678,Braised Beef Noodles,10.25
291,1696,Gam Ja Tang,11.25
292,4016,Passionfruit Green Tea,3.75
293,306,Gam Ja Tang,11.25
294,432,Pork Belly Bao,9.25
295,1331,Pork Belly Bao,9.25
296,2077,Pork Belly Bao,9.25
297,615,Pork Belly Bao,9.25
298,1780,Gam Ja Tang,11.25
299,786,Gam Ja Tang,11.25
300,4649,Gam Ja Tang,11.25
301,462,Cha Siu Bao,9.25
302,1450,Pork Belly Bao,9.25
303,1038,Passionfruit Green Tea,3.75
304,268,Braised Beef Noodles,10.25
305,2077,Braised Beef Noodles,10.25
306,4822,Braised Beef Noodles,10.25
307,480,Gam Ja Tang,11.25
308,1752,Cha Siu Bao,9.25
309,3023,Braised Beef Noodles,10.25
310,917,Gam Ja Tang,11.25
311,1494,Gam Ja Tang,11.25
312,3708,Gam Ja Tang,11.25
313,523,Cha Siu Bao,9.25
314,978,Passionfruit Green Tea,3.75
315,2970,Black Sugar Bubble Tea,5.25
316,4078,Passionfruit Green Tea,3.75
317,951,Gam Ja Tang,11.25
318,297,Cha Siu Bao,9.25
319,1269,Braised Beef Noodles,10.25
320,4305,Braised Beef Noodles,10.25
321,4794,Passionfruit Green Tea,3.75
322,1500,Pork Belly Bao,9.25
323,4220,Cha Siu Bao,9.25
324,282,Matcha Cheese Cake,6.75
325,1829,Gam Ja Tang,11.25
326,1846,Gam Ja Tang,11.25
327,3681,Gam Ja Tang,11.25
328,1085,Braised Beef Noodles,10.25
329,4334,Pork Belly Bao,9.25
330,4911,Passionfruit Green Tea,3.75
331,3949,Passionfruit Green Tea,3.75
332,4793,Passionfruit Green Tea,3.75
333,4486,Gam Ja Tang,11.25
334,4890,Cha Siu Bao,9.25
335,1308,Pork Belly Bao,9.25
336,2074,Black Sugar Bubble Tea,5.25
337,4229,Gam Ja Tang,11.25
338,4012,Gam Ja Tang,11.25
339,299,Gam Ja Tang,11.25
340,3513,Passionfruit Green Tea,3.75
341,234,Pork Belly Bao,9.25
342,1037,Gam Ja Tang,11.25
343,138,Matcha Cheese Cake,6.75
344,1508,Black Sugar Bubble Tea,5.25
345,4944,Braised Beef Noodles,10.25
346,2163,Pork Belly Bao,9.25
347,291,Passionfruit Green Tea,3.75
348,3385,Gam Ja Tang,11.25
349,850,Pork Belly Bao,9.25
350,1069,Pork Belly Bao,9.25
351,795,Gam Ja Tang,11.25
352,731,Pork Belly Bao,9.25
353,2167,Braised Beef Noodles,10.25
354,2805,Braised Beef Noodles,10.25
355,2474,Gam Ja Tang,11.25
356,2669,Gam Ja Tang,11.25
357,3927,Gam Ja Tang,11.25
358,3583,Gam Ja Tang,11.25
359,2871,Braised Beef Noodles,10.25
360,1628,Passionfruit Green Tea,3.75
361,2561,Passionfruit Green Tea,3.75
362,3748,Black Sugar Bubble Tea,5.25
363,2686,Gam Ja Tang,11.25
364,4723,Braised Beef Noodles,10.25
365,4961,Passionfruit Green Tea,3.75
366,3772,Braised Beef Noodles,10.25
367,880,Braised Beef Noodles,10.25
368,2191,Passionfruit Green Tea,3.75
369,3582,Cha Siu Bao,9.25
370,2423,Cha Siu Bao,9.25
371,3416,Passionfruit Green Tea,3.75
372,1502,Pork Belly Bao,9.25
373,753,Pork Belly Bao,9.25
374,62,Gam Ja Tang,11.25
375,4164,Gam Ja Tang,11.25
376,4759,Gam Ja Tang,11.25
377,985,Black Sugar Bubble Tea,5.25
378,2090,Braised Beef Noodles,10.25
379,924,Pork Belly Bao,9.25
380,1347,Braised Beef Noodles,10.25
381,2069,Pork Belly Bao,9.25
382,1489,Braised Beef Noodles,10.25
383,2991,Cha Siu Bao,9.25
384,632,Passionfruit Green Tea,3.75
385,4336,Gam Ja Tang,11.25
386,3133,Passionfruit Green Tea,3.75
387,1824,Gam Ja Tang,11.25
388,1145,Braised Beef Noodles,10.25
389,1309,Pork Belly Bao,9.25
390,3532,Gam Ja Tang,11.25
391,4119,Braised Beef Noodles,10.25
392,3426,Braised Beef Noodles,10.25
393,1624,Pork Belly Bao,9.25
394,4725,Gam Ja Tang,11.25
395,1424,Pork Belly Bao,9.25
396,1519,Passionfruit Green Tea,3.75
397,3595,Passionfruit Green Tea,3.75
398,1256,Cha Siu Bao,9.25
399,553,Pork Belly Bao,9.25
400,3447,Cha Siu Bao,9.25
401,4038,Pork Belly Bao,9.25
402,4992,Pork Belly Bao,9.25
403,1847,Braised Beef Noodles,10.25
404,4735,Cha Siu Bao,9.25
405,4262,Braised Beef Noodles,10.25
406,4231,Cha Siu Bao,9.25
407,849,Black Sugar Bubble Tea,5.25
408,2234,Gam Ja Tang,11.25
409,1738,Passionfruit Green Tea,3.75
410,3512,Braised Beef Noodles,10.25
411,4186,Pork Belly Bao,9.25
412,2112,Pork Belly Bao,9.25
413,1956,Braised Beef Noodles,10.25
414,4831,Cha Siu Bao,9.25
415,4116,Passionfruit Green Tea,3.75
416,3096,Cha Siu Bao,9.25
417,250,Passionfruit Green Tea,3.75
418,3352,Pork Belly Bao,9.25
419,2955,Gam Ja Tang,11.25
420,2586,Braised Beef Noodles,10.25
421,4959,Passionfruit Green Tea,3.75
422,21,Braised Beef Noodles,10.25
423,2608,Matcha Cheese Cake,6.75
424,4248,Passionfruit Green Tea,3.75
425,235,Gam Ja Tang,11.25
426,3032,Gam Ja Tang,11.25
427,1730,Cha Siu Bao,9.25
428,1422,Cha Siu Bao,9.25
429,4561,Braised Beef Noodles,10.25
430,2593,Braised Beef Noodles,10.25
431,2130,Pork Belly Bao,9.25
432,2243,Pork Belly Bao,9.25
433,2100,Gam Ja Tang,11.25
434,2248,Gam Ja Tang,11.25
435,416,Gam Ja Tang,11.25
436,765,Gam Ja Tang,11.25
437,4449,Cha Siu Bao,9.25
438,4338,Passionfruit Green Tea,3.75
439,4065,Cha Siu Bao,9.25
440,3050,Cha Siu Bao,9.25
441,1456,Pork Belly Bao,9.25
442,3228,Gam Ja Tang,11.25
443,4611,Gam Ja Tang,11.25
444,4803,Gam Ja Tang,11.25
445,2602,Cha Siu Bao,9.25
446,2704,Gam Ja Tang,11.25
447,1108,Gam Ja Tang,11.25
448,1493,Braised Beef Noodles,10.25
449,2380,Gam Ja Tang,11.25
450,2202,Cha Siu Bao,9.25
451,4004,Cha Siu Bao,9.25
452,2498,Pork Belly Bao,9.25
453,4938,Gam Ja Tang,11.25
454,957,Cha Siu Bao,9.25
455,3659,Pork Belly Bao,9.25
456,4701,Gam Ja Tang,11.25
457,3393,Gam Ja Tang,11.25
458,4548,Pork Belly Bao,9.25
459,2009,Cha Siu Bao,9.25
460,4597,Red Bean & Taro Slush,8.75
461,4416,Cha Siu Bao,9.25
462,3911,Pork Belly Bao,9.25
463,1819,Passionfruit Green Tea,3.75
464,3777,Braised Beef Noodles,10.25
465,1198,Passionfruit Green Tea,3.75
466,2435,Braised Beef Noodles,10.25
467,3288,Pork Belly Bao,9.25
468,4580,Passionfruit Green Tea,3.75
469,4813,Pork Belly Bao,9.25
470,1847,Gam Ja Tang,11.25
471,2386,Pork Belly Bao,9.25
472,4810,Black Sugar Bubble Tea,5.25
473,3901,Cha Siu Bao,9.25
474,2347,Passionfruit Green Tea,3.75
475,1252,Braised Beef Noodles,10.25
476,957,Braised Beef Noodles,10.25
477,12,Gam Ja Tang,11.25
478,3546,Passionfruit Green Tea,3.75
479,3815,Passionfruit Green Tea,3.75
480,626,Pork Belly Bao,9.25
481,1059,Gam Ja Tang,11.25
482,1597,Cha Siu Bao,9.25
483,4256,Gam Ja Tang,11.25
484,2574,Braised Beef Noodles,10.25
485,3679,Gam Ja Tang,11.25
486,705,Pork Belly Bao,9.25
487,4026,Cha Siu Bao,9.25
488,3232,Gam Ja Tang,11.25
489,1860,Passionfruit Green Tea,3.75
490,909,Braised Beef Noodles,10.25
491,727,Gam Ja Tang,11.25
492,3931,Braised Beef Noodles,10.25
493,1038,Matcha Cheese Cake,6.75
494,4565,Pork Belly Bao,9.25
495,4518,Matcha Cheese Cake,6.75
496,2743,Passionfruit Green Tea,3.75
497,4761,Cha Siu Bao,9.25
498,2224,Passionfruit Green Tea,3.75
499,2592,Pork Belly Bao,9.25
500,4877,Pork Belly Bao,9.25
501,910,Pork Belly Bao,9.25
502,274,Passionfruit Green Tea,3.75
503,2210,Gam Ja Tang,11.25
504,1730,Gam Ja Tang,11.25
505,3681,Gam Ja Tang,11.25
506,3263,Gam Ja Tang,11.25
507,1430,Cha Siu Bao,9.25
508,2902,Gam Ja Tang,11.25
509,561,Black Sugar Bubble Tea,5.25
510,3927,Passionfruit Green Tea,3.75
511,362,Braised Beef Noodles,10.25
512,2673,Pork Belly Bao,9.25
513,2378,Gam Ja Tang,11.25
514,1364,Gam Ja Tang,11.25
515,685,Cha Siu Bao,9.25
516,2306,Passionfruit Green Tea,3.75
517,4075,Passionfruit Green Tea,3.75
518,3982,Cha Siu Bao,9.25
519,928,Braised Beef Noodles,10.25
520,2558,Gam Ja Tang,11.25
521,200,Pork Belly Bao,9.25
522,93,Cha Siu Bao,9.25
523,303,Pork Belly Bao,9.25
524,3189,Cha Siu Bao,9.25
525,2931,Cha Siu Bao,9.25
526,724,Black Sugar Bubble Tea,5.25
527,4935,Passionfruit Green Tea,3.75
528,2307,Pork Belly Bao,9.25
529,1718,Braised Beef Noodles,10.25
530,3144,Cha Siu Bao,9.25
531,2428,Pork Belly Bao,9.25
532,4465,Braised Beef Noodles,10.25
533,800,Braised Beef Noodles,10.25
534,2383,Cha Siu Bao,9.25
535,377,Braised Beef Noodles,10.25
536,3769,Pork Belly Bao,9.25
537,1777,Pork Belly Bao,9.25
538,4689,Pork Belly Bao,9.25
539,1179,Cha Siu Bao,9.25
540,1466,Braised Beef Noodles,10.25
541,2789,Pork Belly Bao,9.25
542,4451,Braised Beef Noodles,10.25
543,1087,Gam Ja Tang,11.25
544,4481,Braised Beef Noodles,10.25
545,2665,Gam Ja Tang,11.25
546,4096,Braised Beef Noodles,10.25
547,3048,Gam Ja Tang,11.25
548,4600,Pork Belly Bao,9.25
549,1130,Black Sugar Bubble Tea,5.25
550,1608,Pork Belly Bao,9.25
551,4241,Pork Belly Bao,9.25
552,1740,Pork Belly Bao,9.25
553,3456,Gam Ja Tang,11.25
554,1434,Braised Beef Noodles,10.25
555,405,Gam Ja Tang,11.25
556,2199,Passionfruit Green Tea,3.75
557,2822,Braised Beef Noodles,10.25
558,4881,Cha Siu Bao,9.25
559,3745,Pork Belly Bao,9.25
560,1730,Pork Belly Bao,9.25
561,1439,Pork Belly Bao,9.25
562,1997,Gam Ja Tang,11.25
563,4859,Pork Belly Bao,9.25
564,1695,Cha Siu Bao,9.25
565,2310,Gam Ja Tang,11.25
566,4251,Passionfruit Green Tea,3.75
567,2452,Pork Belly Bao,9.25
568,4540,Passionfruit Green Tea,3.75
569,2421,Braised Beef Noodles,10.25
570,4569,Passionfruit Green Tea,3.75
571,2126,Passionfruit Green Tea,3.75
572,758,Passionfruit Green Tea,3.75
573,402,Passionfruit Green Tea,3.75
574,3866,Passionfruit Green Tea,3.75
575,2046,Passionfruit Green Tea,3.75
576,63,Gam Ja Tang,11.25
577,4461,Gam Ja Tang,11.25
578,2835,Passionfruit Green Tea,3.75
579,4183,Braised Beef Noodles,10.25
580,2493,Black Sugar Bubble Tea,5.25
581,207,Pork Belly Bao,9.25
582,3947,Braised Beef Noodles,10.25
583,483,Braised Beef Noodles,10.25
584,915,Pork Belly Bao,9.25
585,985,Gam Ja Tang,11.25
586,1120,Braised Beef Noodles,10.25
587,3042,Gam Ja Tang,11.25
588,1935,Gam Ja Tang,11.25
589,3779,Cha Siu Bao,9.25
590,4397,Cha Siu Bao,9.25
591,1618,Pork Belly Bao,9.25
592,2392,Cha Siu Bao,9.25
593,2992,Gam Ja Tang,11.25
594,3995,Braised Beef Noodles,10.25
595,1171,Gam Ja Tang,11.25
596,726,Gam Ja Tang,11.25
597,1518,Cha Siu Bao,9.25
598,1348,Gam Ja Tang,11.25
599,3721,Braised Beef Noodles,10.25
600,2884,Braised Beef Noodles,10.25
601,2173,Gam Ja Tang,11.25
602,2165,Black Sugar Bubble Tea,5.25
603,3201,Cha Siu Bao,9.25
604,2013,Pork Belly Bao,9.25
605,4042,Gam Ja Tang,11.25
606,4463,Gam Ja Tang,11.25
607,2524,Gam Ja Tang,11.25
608,3033,Cha Siu Bao,9.25
609,3445,Gam Ja Tang,11.25
610,4016,Matcha Cheese Cake,6.75
611,693,Braised Beef Noodles,10.25
612,3365,Passionfruit Green Tea,3.75
613,2394,Gam Ja Tang,11.25
614,3898,Matcha Cheese Cake,6.75
615,3848,Gam Ja Tang,11.25
616,3518,Gam Ja Tang,11.25
617,2019,Cha Siu Bao,9.25
618,894,Passionfruit Green Tea,3.75
619,4227,Pork Belly Bao,9.25
620,2001,Gam Ja Tang,11.25
621,3328,Gam Ja Tang,11.25
622,4590,Passionfruit Green Tea,3.75
623,4288,Pork Belly Bao,9.25
624,5,Gam Ja Tang,11.25
625,1803,Pork Belly Bao,9.25
626,4288,Black Sugar Bubble Tea,5.25
627,3533,Gam Ja Tang,11.25
628,795,Passionfruit Green Tea,3.75
629,2152,Matcha Cheese Cake,6.75
630,51,Red Bean & Taro Slush,8.75
631,4643,Braised Beef Noodles,10.25
632,3428,Black Sugar Bubble Tea,5.25
633,4874,Gam Ja Tang,11.25
634,3397,Black Sugar Bubble Tea,5.25
635,3915,Gam Ja Tang,11.25
636,369,Gam Ja Tang,11.25
637,3322,Braised Beef Noodles,10.25
638,1233,Cha Siu Bao,9.25
639,2854,Braised Beef Noodles,10.25
640,3582,Gam Ja Tang,11.25
641,165,Cha Siu Bao,9.25
642,3937,Cha Siu Bao,9.25
643,533,Gam Ja Tang,11.25
644,4054,Gam Ja Tang,11.25
645,3360,Cha Siu Bao,9.25
646,1606,Passionfruit Green Tea,3.75
647,348,Braised Beef Noodles,10.25
648,133,Braised Beef Noodles,10.25
649,1775,Braised Beef Noodles,10.25
650,1780,Herbal Grass Jelly Drink,8.75
651,4404,Cha Siu Bao,9.25
652,317,Gam Ja Tang,11.25
653,1178,Passionfruit Green Tea,3.75
654,3138,Passionfruit Green Tea,3.75
655,1111,Pork Belly Bao,9.25
656,2595,Pork Belly Bao,9.25
657,1178,Gam Ja Tang,11.25
658,3546,Gam Ja Tang,11.25
659,2113,Gam Ja Tang,11.25
660,3290,Braised Beef Noodles,10.25
661,2824,Gam Ja Tang,11.25
662,3405,Pork Belly Bao,9.25
663,569,Pork Belly Bao,9.25
664,3400,Cha Siu Bao,9.25
665,316,Gam Ja Tang,11.25
666,3489,Pork Belly Bao,9.25
667,985,Passionfruit Green Tea,3.75
668,1492,Gam Ja Tang,11.25
669,1649,Gam Ja Tang,11.25
670,2333,Black Sugar Bubble Tea,5.25
671,599,Braised Beef Noodles,10.25
672,2677,Braised Beef Noodles,10.25
673,1875,Black Sugar Bubble Tea,5.25
674,3374,Gam Ja Tang,11.25
675,4531,Gam Ja Tang,11.25
676,763,Braised Beef Noodles,10.25
677,68,Gam Ja Tang,11.25
678,4096,Braised Beef Noodles,10.25
679,1161,Gam Ja Tang,11.25
680,1928,Braised Beef Noodles,10.25
681,3487,Cha Siu Bao,9.25
682,1066,Gam Ja Tang,11.25
683,1329,Gam Ja Tang,11.25
684,3258,Gam Ja Tang,11.25
685,3376,Braised Beef Noodles,10.25
686,996,Pork Belly Bao,9.25
687,3488,Pork Belly Bao,9.25
688,129,Black Sugar Bubble Tea,5.25
689,4277,Black Sugar Bubble Tea,5.25
690,3863,Braised Beef Noodles,10.25
691,514,Gam Ja Tang,11.25
692,3539,Red Bean & Taro Slush,8.75
693,2454,Gam Ja Tang,11.25
694,997,Braised Beef Noodles,10.25
695,4885,Matcha Cheese Cake,6.75
696,3173,Pork Belly Bao,9.25
697,3898,Gam Ja Tang,11.25
698,4653,Pork Belly Bao,9.25
699,3017,Pork Belly Bao,9.25
700,98,Black Sugar Bubble Tea,5.25
701,1407,Pork Belly Bao,9.25
702,3421,Gam Ja Tang,11.25
703,4288,Braised Beef Noodles,10.25
704,2343,Cha Siu Bao,9.25
705,3287,Black Sugar Bubble Tea,5.25
706,2242,Gam Ja Tang,11.25
707,1687,Gam Ja Tang,11.25
708,4631,Pork Belly Bao,9.25
709,3711,Gam Ja Tang,11.25
710,4240,Pork Belly Bao,9.25
711,4798,Braised Beef Noodles,10.25
712,2873,Passionfruit Green Tea,3.75
713,4592,Pork Belly Bao,9.25
